model_name,datasets_id,accuracy,nofire_as_nofire,fire_as_nofire,nofire_as_fire,fire_as_fire,nofire_precision,nofire_recall,nofire_f1-score,nofire_support,fire_precision,fire_recall,fire_f1-score,fire_support
model_fismo_firesense_000.h5,fismo_firesense,0.8565121412803532,573,4,126,203,0.8197424892703863,0.9930675909878682,0.8981191222570534,577,0.9806763285024155,0.6170212765957447,0.7574626865671641,329
model_fismo_firesense_001.h5,fismo_firesense,0.9139072847682119,560,17,61,268,0.9017713365539453,0.9705372616984402,0.9348914858096827,577,0.9403508771929825,0.8145896656534954,0.8729641693811074,329
model_fismo_firesense_002.h5,fismo_firesense,0.8487858719646799,515,62,75,254,0.8728813559322034,0.8925476603119584,0.8826049700085691,577,0.8037974683544303,0.7720364741641338,0.7875968992248062,329
model_fismo_firesense_003.h5,fismo_firesense,0.8554083885209713,575,2,129,200,0.8167613636363636,0.9965337954939342,0.897736143637783,577,0.9900990099009901,0.60790273556231,0.7532956685499059,329
model_fismo_firesense_004.h5,fismo_firesense,0.9172185430463576,559,18,57,272,0.9074675324675324,0.9688041594454073,0.9371332774518021,577,0.9379310344827586,0.8267477203647416,0.8788368336025849,329
model_fismo_firesense_005.h5,fismo_firesense,0.9105960264900662,552,25,56,273,0.9078947368421053,0.9566724436741768,0.9316455696202532,577,0.9161073825503355,0.8297872340425532,0.8708133971291866,329
model_fismo_firesense_006.h5,fismo_firesense,0.8940397350993378,568,9,87,242,0.867175572519084,0.9844020797227037,0.9220779220779222,577,0.9641434262948207,0.7355623100303952,0.8344827586206897,329
model_fismo_firesense_007.h5,fismo_firesense,0.8741721854304636,577,0,114,215,0.8350217076700435,1.0,0.9100946372239748,577,1.0,0.6534954407294833,0.7904411764705882,329
model_fismo_firesense_008.h5,fismo_firesense,0.8686534216335541,574,3,116,213,0.8318840579710145,0.9948006932409013,0.9060773480662984,577,0.9861111111111112,0.6474164133738601,0.7816513761467889,329
model_fismo_firesense_009.h5,fismo_firesense,0.8896247240618101,565,12,88,241,0.8652373660030628,0.9792027729636048,0.9186991869918699,577,0.9525691699604744,0.7325227963525835,0.8281786941580755,329
